title,movie_url,poster_url,rating,genre
Alvin and the Chipmunks (2007),https://letterboxd.com/film/alvin-and-the-chipmunks/,https://a.ltrbxd.com/resized/film-poster/4/8/2/9/8/48298-alvin-and-the-chipmunks-0-1000-0-1500-crop.jpg?v=5ad5d3b4e2,2.69,fantasy
Pirates of the Caribbean: At World's End (2007),https://letterboxd.com/film/pirates-of-the-caribbean-at-worlds-end/,https://a.ltrbxd.com/resized/film-poster/5/1/7/7/3/51773-pirates-of-the-caribbean-at-worlds-end-0-1000-0-1500-crop.jpg?v=c8c8baa1a7,3.5,action
American Psycho (2000),https://letterboxd.com/film/american-psycho/,https://a.ltrbxd.com/resized/sm/upload/5b/u9/av/il/ecoY7zJL6Ub3URP1oPhPfGflEjV-0-1000-0-1500-crop.jpg?v=8126850315,3.82,crime
Godzilla × Kong: The New Empire (2024),https://letterboxd.com/film/godzilla-kong-the-new-empire/,https://a.ltrbxd.com/resized/film-poster/7/3/9/5/2/2/739522-godzilla-x-kong-the-new-empire-0-1000-0-1500-crop.jpg?v=7c2eb6e620,2.69,science-fiction
Ferris Bueller's Day Off (1986),https://letterboxd.com/film/ferris-buellers-day-off/,https://a.ltrbxd.com/resized/film-poster/4/7/2/1/9/47219-ferris-bueller-s-day-off-0-1000-0-1500-crop.jpg?v=5c27745153,3.94,comedy
When Harry Met Sally... (1989),https://letterboxd.com/film/when-harry-met-sally/,https://a.ltrbxd.com/resized/film-poster/5/1/4/8/5/51485-when-harry-met-sally--0-1000-0-1500-crop.jpg?v=2f277e2fe7,4.06,drama
BlacKkKlansman (2018),https://letterboxd.com/film/blackkklansman/,https://a.ltrbxd.com/resized/film-poster/4/1/8/1/3/5/418135-blackkklansman-0-1000-0-1500-crop.jpg?v=632af7bfd9,3.95,drama
Captain America: Civil War (2016),https://letterboxd.com/film/captain-america-civil-war/,https://a.ltrbxd.com/resized/film-poster/1/9/4/4/0/2/194402-captain-america-civil-war-0-1000-0-1500-crop.jpg?v=06d3eb3f8a,3.6,action
Southpaw (2015),https://letterboxd.com/film/southpaw-2015/,https://a.ltrbxd.com/resized/film-poster/2/3/4/2/0/8/234208-southpaw-0-1000-0-1500-crop.jpg?v=ada7c8d2d7,3.59,drama
The Giver (2014),https://letterboxd.com/film/the-giver/,https://a.ltrbxd.com/resized/sm/upload/sz/yq/th/hq/pBId6jhii1vP2CShtrGLB3SuKhc-0-1000-0-1500-crop.jpg?v=0e71e0df55,2.65,drama
